#: $p_T$			Au+Au $\bar{p}$ $0-10\%$ centrality				
$p_T$	$p_T$ LOW	$p_T$ HIGH	Yields	Stat error +	Stat error -	Sys error +	Sys error -
0.65	0.6	0.7	0.0906661	0.00138996	-0.00138996	0.00906661	-0.00906661
0.75	0.7	0.8	0.0776869	0.00114584	-0.00114584	0.00776869	-0.00776869
0.85	0.8	0.9	0.0631503	0.000930322	-0.000930322	0.00631503	-0.00631503
0.95	0.9	1	0.049578	0.000748302	-0.000748302	0.0049578	-0.0049578
1.05	1	1.1	0.0377939	0.00031683	-0.00031683	0.00377939	-0.00377939
1.15	1.1	1.2	0.0293236	0.000246245	-0.000246245	0.00293236	-0.00293236
1.25	1.2	1.3	0.0220149	0.000185323	-0.000185323	0.00220149	-0.00220149
1.35	1.3	1.4	0.0165685	0.000139746	-0.000139746	0.00165685	-0.00165685
1.45	1.4	1.5	0.0127345	0.000109624	-0.000109624	0.00127345	-0.00127345
1.55	1.5	1.6	0.00931866	7.97E-05	-7.97E-05	0.000931866	-0.000931866
1.65	1.6	1.7	0.00701847	6.13E-05	-6.13E-05	0.000701847	-0.000701847
1.75	1.7	1.8	0.00521934	4.61E-05	-4.61E-05	0.000521934	-0.000521934
1.85	1.8	1.9	0.00384246	3.46E-05	-3.46E-05	0.000384246	-0.000384246
1.95	1.9	2	0.0029221	2.70E-05	-2.70E-05	0.00029221	-0.00029221
2.1	2	2.2	0.00192862	1.33E-05	-1.33E-05	0.000192862	-0.000192862
2.3	2.2	2.4	0.00107949	8.08E-06	-8.08E-06	0.000107949	-0.000107949
2.5	2.4	2.6	0.000625502	5.24E-06	-5.24E-06	6.26E-05	-6.26E-05
2.7	2.6	2.8	0.000370395	3.55E-06	-3.55E-06	3.70E-05	-3.70E-05
2.9	2.8	3	0.000223515	2.50E-06	-2.50E-06	2.24E-05	-2.24E-05
3.25	3	3.5	9.75E-05	9.27E-07	-9.27E-07	1.07E-05	-1.07E-05
3.75	3.5	4	3.23E-05	4.71E-07	-4.71E-07	3.55E-06	-3.55E-06
4.25	4	4.5	1.20E-05	2.76E-07	-2.76E-07	1.32E-06	-1.32E-06
4.75	4.5	5	4.84E-06	1.81E-07	-1.81E-07	5.32E-07	-5.32E-07
5.25	5	5.5	2.54E-06	2.65E-07	-2.65E-07	3.55E-07	-3.55E-07
5.75	5.5	6	1.38E-06	2.17E-07	-2.17E-07	1.94E-07	-1.94E-07
