PHOBOS
------------------------
eta	yield	yeilderr
------------------------
cent0
-1.100000024	154.842575073	21.874195099
-0.899999976	154.531250000	21.501623154
-0.699999988	154.135879517	21.051628113
-0.500000000	155.645095825	20.903377533
-0.300000012	152.999252319	20.250099182
-0.100000001	152.972808838	20.147779465
0.100000001	149.794601440	20.567834854
0.300000012	151.782592773	20.292407990
0.500000000	153.495147705	20.591335297
0.699999988	153.097915649	21.039173126
0.899999976	151.989822388	21.631816864
1.100000024	151.420715332	22.098934174
1.299999952	152.737731934	22.056577682
1.500000000	153.199066162	22.076726913
1.700000048	150.983474731	21.908975601
1.899999976	148.733596802	21.592679977
2.099999905	147.036407471	21.180187225
2.299999952	141.784957886	20.566907883
2.500000000	139.299301147	20.024272919
2.700000048	133.309646606	19.264080048
2.900000095	124.384231567	18.636699677
3.099999905	121.207778931	18.209875107
3.299999952	113.969757080	17.877025604
3.500000000	102.340713501	16.678844452
3.700000048	92.809638977	16.137079239
3.900000095	84.118804932	15.658376694
4.099999905	72.661689758	15.130651474
4.300000191	63.864303589	14.446189880
4.500000000	55.003082275	13.728575706
4.699999809	48.912208557	12.930007935
4.900000095	40.961990356	11.914813995
5.099999905	34.000663757	10.884390831
5.300000191	29.296186447	9.941823006
------------------------
cent5
-5.300000191	19.495555878	6.984034061
-5.099999905	22.525453568	7.513072014
-4.900000095	27.042272568	8.149167061
-4.699999809	31.523439407	8.641254425
-4.500000000	35.478473663	9.027763367
-4.300000191	39.567173004	9.622176170
-4.099999905	47.149559021	9.657872200
-3.900000095	51.605892181	9.925724030
-3.700000048	55.858058929	10.508039474
-3.500000000	62.647949219	10.384167671
-3.299999952	66.826972961	10.845970154
-3.099999905	75.856719971	11.713644028
-2.900000095	76.470298767	11.396675110
-2.700000048	80.580352783	11.785457611
-2.500000000	83.763877869	12.215358734
-2.299999952	86.126586914	12.632655144
-2.099999905	88.219337463	13.002920151
-1.899999976	89.516616821	13.322235107
-1.700000048	91.487075806	13.528988838
-1.500000000	91.713607788	13.643893242
-1.299999952	93.201118469	13.685397148
-1.100000024	92.785247803	13.545676231
-0.899999976	92.325340271	13.354126930
-0.699999988	93.632667542	13.227446556
-0.500000000	93.586135864	13.025107384
-0.300000012	90.052917480	12.899647713
-0.100000001	92.344429016	12.626134872
0.100000001	91.345809937	12.620282173
0.300000012	91.776321411	12.652363777
0.500000000	91.942359924	12.841953278
0.699999988	90.902725220	13.251486778
0.899999976	92.882926941	13.358275414
1.100000024	91.642471313	13.614771843
1.299999952	91.810195923	13.675409317
1.500000000	92.429946899	13.652237892
1.700000048	91.510566711	13.530076981
1.899999976	90.282257080	13.311006546
2.099999905	87.921989441	13.017454147
2.299999952	85.936996460	12.641408920
2.500000000	83.562782288	12.218803406
2.700000048	80.657882690	11.784464836
2.900000095	77.458518982	11.374877930
3.099999905	76.118652344	11.848270416
3.299999952	70.020309448	10.895910263
3.500000000	63.875259399	10.377365112
3.700000048	57.580207825	10.109035492
3.900000095	51.598579407	9.926799774
4.099999905	45.298099518	9.837039948
4.300000191	40.766086578	9.374643326
4.500000000	35.117465973	9.069894791
4.699999809	32.028781891	8.749435425
4.900000095	26.119834900	8.082383156
5.099999905	22.524297714	7.512971878
5.300000191	19.780286789	7.068282127
------------------------
