pt vn ptErr vnErr
------------------------
pion	v2	cent0
1.289999962	0.043800000	0.004100000	0.001000000
1.490000010	0.053100001	0.005119571	0.001300000
1.700000048	0.059500001	0.006118823	0.001500000
1.889999986	0.071300000	0.007158910	0.001900000
2.089999914	0.075000003	0.007180529	0.002400000
2.289999962	0.082599998	0.008178632	0.003000000
2.490000010	0.075099997	0.007180529	0.004000000
2.690000057	0.079999998	0.007203471	0.005000000
2.890000105	0.088100001	0.008200000	0.007000000
3.210000038	0.068999998	0.006161169	0.007000000
3.710000038	0.081000000	0.007203471	0.013000000
------------------------
kaon	v4	cent2
0.509999990	0.002060000	0.003002016	0.002300000
0.699999988	0.013300000	0.009027180	0.001800000
0.899999976	0.019600000	0.011045361	0.001900000
1.100000024	0.028100001	0.013075167	0.002200000
1.289999962	0.043699998	0.019126944	0.002700000
1.490000010	0.052099999	0.021172859	0.003300000
1.700000048	0.048200000	0.018172780	0.004000000
1.889999986	0.058699999	0.021213204	0.005000000
2.089999914	0.059700001	0.020238824	0.006000000
2.289999962	0.072999999	0.024331050	0.008000000
2.490000010	0.041200001	0.013168523	0.010000000
2.690000057	0.075000003	0.024331050	0.013000000
2.890000105	0.070000000	0.022360679	0.017000001
3.210000038	0.093999997	0.029427877	0.018999999
3.710000038	0.032499999	0.010143471	0.033000000
------------------------
kaon	v2	cent3
0.509999990	0.042769998	0.001905151	0.000400000
0.699999988	0.069789998	0.002511494	0.000330000
0.899999976	0.097860001	0.003216970	0.000340000
1.100000024	0.121600002	0.004019951	0.000400000
1.289999962	0.141399994	0.004031129	0.000500000
1.490000010	0.158500001	0.005024938	0.000600000
1.700000048	0.169900000	0.005035871	0.000700000
1.889999986	0.180000007	0.005035871	0.000900000
2.089999914	0.186900005	0.006029925	0.001100000
2.289999962	0.190799996	0.006029925	0.001400000
2.490000010	0.187600002	0.006029925	0.001800000
2.690000057	0.190699995	0.006029925	0.002300000
2.890000105	0.196700007	0.006040696	0.003000000
3.210000038	0.179700002	0.005035871	0.003300000
3.710000038	0.172399998	0.005035871	0.006000000
------------------------
kaon	v3	cent3
0.509999990	0.007330000	0.002010995	0.001300000
0.699999988	0.015100000	0.002433105	0.001000000
0.899999976	0.025300000	0.003373425	0.001100000
1.100000024	0.036100000	0.004123106	0.001200000
1.289999962	0.044399999	0.005166236	0.001500000
1.490000010	0.056899998	0.006209670	0.001800000
1.700000048	0.063000001	0.007227724	0.002300000
1.889999986	0.068099998	0.008246211	0.002800000
2.089999914	0.077900000	0.009264987	0.003400000
2.289999962	0.084200002	0.009314504	0.004000000
2.490000010	0.077900000	0.009264987	0.006000000
2.690000057	0.073200002	0.008271034	0.007000000
2.890000105	0.082300000	0.009314504	0.009000000
3.210000038	0.076399997	0.008296988	0.010000000
3.710000038	0.079599999	0.009289240	0.017000001
------------------------
kaon	v4	cent3
0.509999990	0.005800000	0.005012235	0.003500000
0.699999988	0.011200000	0.007034913	0.002800000
0.899999976	0.023800001	0.013075167	0.003000000
1.100000024	0.039500002	0.019150978	0.003400000
1.289999962	0.039200000	0.018159295	0.004000000
1.490000010	0.056499999	0.023249947	0.005000000
1.700000048	0.066000000	0.026305893	0.006000000
1.889999986	0.079999998	0.030413812	0.008000000
2.089999914	0.081000000	0.029427877	0.010000000
2.289999962	0.081000000	0.028442927	0.012000000
2.490000010	0.082000002	0.028442927	0.016000001
2.690000057	0.100000001	0.033541020	0.020000000
2.890000105	0.056499999	0.018318295	0.026000001
3.210000038	0.097000003	0.031575307	0.028999999
3.710000038	0.082000002	0.026476406	0.050000001
------------------------
kaon	v2	cent4
0.509999990	0.049470000	0.001813394	0.000600000
0.699999988	0.078270003	0.002622137	0.000500000
0.899999976	0.108099997	0.003535534	0.000500000
1.100000024	0.130099997	0.004044750	0.000600000
1.289999962	0.151999995	0.005048762	0.000700000
1.490000010	0.168300003	0.005048762	0.000900000
1.700000048	0.181500003	0.006053098	0.001100000
1.889999986	0.191300005	0.006053098	0.001300000
2.089999914	0.194399998	0.006067125	0.001600000
2.289999962	0.197200000	0.006067125	0.002000000
2.490000010	0.196600005	0.006067125	0.002600000
2.690000057	0.199599996	0.006067125	0.003300000
2.890000105	0.202800006	0.006067125	0.004000000
3.210000038	0.197099999	0.006067125	0.005000000
3.710000038	0.197999999	0.006067125	0.008000000
------------------------
kaon	v3	cent4
0.509999990	0.007300000	0.002927456	0.002000000
0.699999988	0.016799999	0.004100000	0.001600000
0.899999976	0.028700000	0.005249762	0.001700000
1.100000024	0.036100000	0.006324556	0.002000000
1.289999962	0.041700002	0.007368175	0.002400000
1.490000010	0.052499998	0.009455686	0.003000000
1.700000048	0.066000000	0.011704700	0.004000000
1.889999986	0.066000000	0.011704700	0.005000000
2.089999914	0.064999998	0.011704700	0.006000000
2.289999962	0.071999997	0.012649111	0.007000000
2.490000010	0.051399998	0.009425497	0.009000000
2.690000057	0.071999997	0.012649111	0.012000000
2.890000105	0.055500001	0.009518928	0.015000000
3.210000038	0.062799998	0.010594809	0.016000001
3.710000038	0.111000001	0.018973665	0.027000001
------------------------
kaon	v4	cent4
0.509999990	0.006000000	0.005024938	0.008000000
0.699999988	0.023000000	0.012134249	0.006000000
0.899999976	0.026500000	0.012182364	0.007000000
1.100000024	0.048000000	0.019416487	0.008000000
1.289999962	0.057000000	0.021377558	0.009000000
1.490000010	0.039900001	0.014339108	0.011000000
1.700000048	0.063000001	0.021587033	0.014000000
1.889999986	0.098999999	0.032984845	0.017000001
2.089999914	0.093999997	0.030805843	0.021000000
2.289999962	0.064999998	0.021587033	0.027000001
2.490000010	0.127000004	0.041231055	0.034000002
2.690000057	0.156000003	0.051419843	0.039999999
2.890000105	0.001150000	0.004001013	0.059999999
3.210000038	0.177000001	0.051923022	0.059999999
3.710000038	0.123000003	0.041231055	0.100000001
------------------------
kaon	v2	cent5
0.509999990	0.001440000	0.001107655	0.001100000
0.699999988	0.007400000	0.001476482	0.000900000
0.899999976	0.009200000	0.001526434	0.000900000
1.100000024	0.014700000	0.002140094	0.001100000
1.289999962	0.021500001	0.002906888	0.001300000
1.490000010	0.020000000	0.002690725	0.001700000
1.700000048	0.023499999	0.003114482	0.002000000
1.889999986	0.027500000	0.003538361	0.002500000
2.089999914	0.027700000	0.003538361	0.003100000
2.289999962	0.027700000	0.003538361	0.004000000
2.490000010	0.036899999	0.004738143	0.005000000
2.690000057	0.027500000	0.003538361	0.006000000
2.890000105	0.033599999	0.004313931	0.008000000
3.210000038	0.043000001	0.005656855	0.009000000
3.710000038	0.020800000	0.002765863	0.015000000
------------------------
kaon	v3	cent5
0.509999990	0.051630002	0.002217747	0.000900000
0.699999988	0.082300000	0.003238827	0.000800000
0.899999976	0.112099998	0.004044750	0.000800000
1.100000024	0.133800000	0.005048762	0.001000000
1.289999962	0.152500004	0.006053098	0.001200000
1.490000010	0.168699995	0.006067125	0.001500000
1.700000048	0.180199996	0.007071068	0.001800000
1.899999976	0.189300001	0.007071068	0.002200000
2.089999914	0.191799998	0.007085902	0.002700000
2.289999962	0.193399996	0.007085902	0.003400000
2.490000010	0.202999994	0.007085902	0.004000000
2.690000057	0.196199998	0.007085902	0.006000000
2.890000105	0.186800003	0.007071068	0.007000000
3.210000038	0.195800006	0.007085902	0.008000000
3.710000038	0.187000006	0.007071068	0.012000000
------------------------
kaon	v4	cent5
0.509999990	0.007700000	0.004148494	0.003500000
0.699999988	0.015900001	0.005503635	0.002900000
0.899999976	0.027700000	0.008944273	0.003100000
1.100000024	0.026000001	0.008062257	0.004000000
1.289999962	0.043000001	0.012529965	0.004000000
1.490000010	0.041000001	0.012529965	0.006000000
1.700000048	0.050999999	0.014764823	0.007000000
1.899999976	0.064999998	0.019723084	0.008000000
2.089999914	0.039999999	0.012529965	0.010000000
2.289999962	0.059000000	0.017492855	0.013000000
2.490000010	0.074000001	0.021954497	0.016000001
2.690000057	0.030999999	0.010295630	0.021000000
2.890000105	-0.003400000	0.003535534	0.027000001
3.210000038	0.092000000	0.026925825	0.028000001
3.710000038	-0.006300000	0.004100000	0.050000001
------------------------
proton	v2	cent0
0.519999981	0.000728000	0.005000004	0.000400000
0.699999988	0.005660000	0.005000250	0.000300000
0.899999976	0.013630000	0.005001210	0.000270000
1.100000024	0.025030000	0.005003999	0.000270000
1.299999952	0.037080001	0.005008992	0.000310000
1.500000000	0.048900001	0.006013318	0.000400000
1.690000057	0.060800001	0.006020797	0.000400000
1.889999986	0.069700003	0.006029925	0.000500000
2.089999914	0.077299997	0.006029925	0.000700000
2.289999962	0.084299996	0.006040696	0.000900000
2.490000010	0.091700003	0.007034913	0.001100000
2.690000057	0.095500000	0.007045566	0.001400000
2.890000105	0.098800004	0.007045566	0.001800000
3.200000048	0.094099998	0.007045566	0.002700000
3.700000048	0.107600003	0.007057620	0.005000000
------------------------
proton	v3	cent0
