 Npart: 344 err: 11
 
   x         ex          y        +ey        -ey  
-0.500000  0.000000  496.568115  49.069336  -44.338318 
-0.300000  0.000000  492.063202  51.262726  -40.649078 
-0.100000  0.000000  499.160248  43.423798  -47.934692 
0.100000  0.000000  497.454712  45.129333  -46.229156 
0.300000  0.000000  499.116699  44.209229  -47.702576 
0.500000  0.000000  492.756836  52.880615  -40.527039 
0.700000  0.000000  498.455383  50.123108  -45.227722 
0.900000  0.000000  502.547943  48.629364  -48.618896 
1.100000  0.000000  499.293762  53.318787  -45.396423 
1.300000  0.000000  501.843536  50.417877  -49.086823 
1.500000  0.000000  504.434967  45.228241  -54.261932 
1.700000  0.000000  499.210510  45.247253  -53.387726 
1.900000  0.000000  491.004517  45.330811  -51.637299 
2.100000  0.000000  477.163971  47.847382  -46.722321 
2.300000  0.000000  466.767700  43.460022  -48.104004 
2.500000  0.000000  447.374115  44.403900  -43.709198 
2.700000  0.000000  425.369232  44.181793  -40.222534 
2.900000  0.000000  404.320404  39.264923  -41.362122 
3.100000  0.000000  385.026581  29.096466  -47.841797 
3.300000  0.000000  347.513062  34.134216  -39.290466 
3.500000  0.000000  317.151642  29.735199  -40.340668 
3.700000  0.000000  279.508179  31.269409  -35.515320 
3.900000  0.000000  242.276840  32.103043  -31.279465 
4.100000  0.000000  211.130142  27.637344  -32.061615 
4.300000  0.000000  181.262589  23.649048  -31.973831 
4.500000  0.000000  148.316315  25.271088  -25.867790 
4.700000  0.000000  123.011368  22.309402  -24.019066 
4.900000  0.000000  101.039101  19.341568  -22.000336 
5.100000  0.000000  81.561211  17.246048  -19.111305 
5.300000  0.000000  65.085655  15.377396  -16.166290 

 Npart: 200 err: 8
 
 
   x         ex          y        +ey        -ey   
 -------------------------------------------------------  
-5.300000  0.000000  51.684448  11.708454  -14.385792 
-5.100000  0.000000  60.404583  16.627522  -12.873795 
-4.900000  0.000000  75.772163  17.085442  -15.773548 
-4.700000  0.000000  95.514542  15.390236  -20.638298 
-4.500000  0.000000  108.919334  22.163307  -16.726982 
-4.300000  0.000000  133.481522  19.667252  -21.710480 
-4.100000  0.000000  157.210144  19.490601  -24.015198 
-3.900000  0.000000  175.467026  25.724396  -19.654495 
-3.700000  0.000000  199.757751  26.213150  -20.955704 
-3.500000  0.000000  221.848099  28.500458  -20.565399 
-3.300000  0.000000  242.192780  31.470398  -19.749680 
-3.100000  0.000000  271.676270  23.669800  -30.027283 
-2.900000  0.000000  283.927673  31.036469  -25.426270 
-2.700000  0.000000  299.881927  32.355133  -27.043030 
-2.500000  0.000000  313.033325  33.996399  -28.335785 
-2.300000  0.000000  325.995819  33.331818  -31.745667 
-2.100000  0.000000  335.804993  33.399139  -34.059265 
-1.900000  0.000000  346.124817  30.663239  -38.664490 
-1.700000  0.000000  351.223267  31.015594  -39.558777 
-1.500000  0.000000  354.210724  31.522461  -39.604614 
-1.300000  0.000000  352.897949  34.568726  -36.391052 
-1.100000  0.000000  352.473175  35.199890  -34.904327 
-0.900000  0.000000  354.054321  32.605865  -36.066284 
-0.700000  0.000000  352.765930  32.086884  -34.795197 
-0.500000  0.000000  349.732239  33.086121  -31.988770 
-0.300000  0.000000  350.200562  31.031677  -32.655029 
-0.100000  0.000000  346.831177  33.918976  -29.235809 
0.100000  0.000000  348.113220  32.636932  -30.517853 
0.300000  0.000000  347.047699  34.184540  -29.502167 
0.500000  0.000000  349.404266  33.414093  -31.660797 
0.700000  0.000000  349.036865  35.815948  -31.066132 
0.900000  0.000000  350.965363  35.694824  -32.977325 
1.100000  0.000000  349.919312  37.753754  -32.350464 
1.300000  0.000000  351.545959  35.920715  -35.039062 
1.500000  0.000000  348.483673  37.249512  -33.877563 
1.700000  0.000000  347.157867  35.080994  -35.493378 
1.900000  0.000000  343.288635  33.499420  -35.828308 
2.100000  0.000000  338.670319  30.533783  -36.924591 
2.300000  0.000000  327.304749  32.022888  -33.054596 
2.500000  0.000000  315.827362  31.202332  -31.129822 
2.700000  0.000000  300.628754  31.608307  -27.789856 
2.900000  0.000000  284.744415  30.219727  -26.243042 
3.100000  0.000000  276.584930  18.761108  -34.935959 
3.300000  0.000000  253.079498  20.583649  -30.636414 
